ADC_Value,mV_Value
.,2869.87
15296,2868.00
15343,2876.81
15158,2842.12
15198,2849.62
15254,2860.12
15268,2862.75
15306,2869.87
15296,2868.00
15343,2876.81
15158,2842.12
15198,2849.62
15254,2860.12
15268,2862.75
15306,2869.87
15296,2868.00
15343,2876.81
114627,2742.56
14887,2791.31
14633,2743.69
14775,2770.31
13937,2613.19
14523,2723.06
14646,2746.12
14808,2776.50
14376,2695.50
14646,2746.12
14006,2626.12
14145,2652.19
14108,2645.25
14113,2646.19
14267,2675.06
14112,2646.00
14020,2628.75
13526,2536.12
13442,2520.37
14079,2639.81
13645,2558.44
13066,2449.87
13526,2536.12
14000,2625.00
14146,2652.37
13443,2520.56
13616,2553.00
13887,2603.81
14006,2626.12
13269,2487.94
13575,2545.31
13823,2591.81
13339,2501.06
13187,2472.56
14270,2675.62
13537,2538.19
13972,2619.75
13908,2607.75
13694,2567.62
13352,2503.50
12520,2347.50
12648,2371.50
11073,2076.19
11310,2120.62
13189,2472.94
12981,2433.94
13209,2476.69
13712,2571.00
13915,2609.06
13845,2595.94
13329,2499.19
12548,2352.75
11842,2220.37
11634,2181.37
11925,2235.94
11517,2159.44
13418,2515.87
13390,2510.63
13302,2494.13
13583,2546.81
13561,2542.69
13474,2526.37
10197,1911.94
13216,2478.00
11322,2122.87
13038,2444.63
10804,2025.75
12382,2321.62
11415,2140.31
12222,2291.62
9972,1869.75
9226,1729.88
11252,2109.75
11253,2109.94
10105,1894.69
1189,222.94
12209,2289.19
10407,1951.31
5483,1028.06
5361,1005.19
11709,2195.44
11833,2218.69
11612,2177.25
10998,2062.12
10616,1990.50
10272,1926.00
4918,922.13
6496,1218.00
11637,2181.94
3431,643.31
10790,2023.12
12093,2267.44
9434,1768.88
10929,2049.19
6553,1228.69
6613,1239.94
6391,1198.31
8386,1572.38
11619,2178.56
11660,2186.25
8975,1682.81
8909,1670.44
10761,2017.69
1123,210.56
12769,2394.19
12368,2319.00
12658,2373.37
1821,341.44
10870,2038.13
15492,2904.75
15004,2813.25
14146,2652.37
13542,2539.12
14106,2644.87
14472,2713.50
14171,2657.06
14090,2641.87
15482,2902.87
15418,2890.87
15319,2872.31
14705,2757.19
14504,2719.50
15723,2948.06
15029,2817.94
15021,2816.44
15122,2835.37
15413,2889.94
15641,2932.69
15131,2837.06
14653,2747.44
14463,2711.81
15052,2822.25
15137,2838.19
14907,2795.06
15546,2914.87
14986,2809.87
14531,2724.56
14642,2745.37
14912,2796.00
14800,2775.00
15024,2817.00
14749,2765.44
14881,2790.19
13275,2489.06
14200,2662.50
14150,2653.12
14063,2636.81
14034,2631.37
14372,2694.75
14527,2723.81
14702,2756.62
14516,2721.75
15015,2815.31
14812,2777.25
15264,2862.00
13816,2590.50
11660,2186.25
13793,2586.19
14890,2791.88
14145,2652.19
14357,2691.94
14002,2625.37
14016,2628.00
12721,2385.19
13683,2565.56
13782,2584.12
13941,2613.94
13964,2618.25
14083,2640.56
14130,2649.37
13861,2598.94
4149,777.94
1136,213.00
1113,208.69
1111,208.31
1117,209.44
16367,3068.81
16131,3024.56
15987,2997.56
15913,2983.69
15838,2969.62
15746,2952.37
15590,2923.12
15070,2825.62
15133,2837.44
14867,2787.56
14218,2665.87
14305,2682.19
14542,2726.62
15579,2921.06
14186,2659.87
13748,2577.75
14321,2685.19
13794,2586.37
13624,2554.50
13781,2583.94
4749,890.44
1055,197.81
1019,191.06
1016,190.50
1018,190.88
1023,191.81
1027,192.56
17649,3309.19
16984,3184.50
16723,3135.56
15192,2848.50
2906,544.88
1094,205.13
16227,3042.56
16223,3041.81
16395,3074.06
16360,3067.50
16313,3058.69
16263,3049.31
16229,3042.94
16213,3039.94
16187,3035.06
16123,3023.06
16104,3019.50
16060,3011.25
16036,3006.75
15999,2999.81
15900,2981.25
15354,2878.87
15327,2873.81
15264,2862.00
15336,2875.50
15529,2911.69
15260,2861.25
15113,2833.69
15161,2842.69
15179,2846.06
15268,2862.75
15250,2859.37
15270,2863.12
14623,2741.81
14720,2760.00
14883,2790.56
15202,2850.37
15270,2863.12
14773,2769.94
15104,2832.00
15264,2862.00
14965,2805.94
15010,2814.37
14770,2769.37
14428,2705.25
14233,2668.69
14057,2635.69
14250,2671.87
13850,2596.87
14868,2787.75
15132,2837.25
14504,2719.50
14920,2797.50
14786,2772.37
15540,2913.75
15147,2840.06
15080,2827.50
14890,2791.88
15002,2812.87
14287,2678.81
14568,2731.50
14723,2760.56
14773,2769.94
14948,2802.75
15086,2828.62
14982,2809.12
15427,2892.56
15356,2879.25
15286,2866.12
15230,2855.62
15431,2893.31
15100,2831.25
14930,2799.37
14716,2759.25
14853,2784.94
14662,2749.12
14288,2679.00
14935,2800.31
14921,2797.69
14546,2727.37
14721,2760.19
14852,2784.75
14796,2774.25
14589,2735.44
14409,2701.69
14269,2675.44
14522,2722.87
14224,2667.00
14218,2665.87
14231,2668.31
13769,2581.69
14152,2653.50
13525,2535.94
13974,2620.12
14221,2666.44
12894,2417.62
12664,2374.50
11895,2230.31
13214,2477.63
13576,2545.50
13190,2473.12
12616,2365.50
13656,2560.50
12485,2340.94
12214,2290.13
14796,2774.25
14674,2751.37
13697,2568.19
13572,2544.75
13564,2543.25
13654,2560.12
14112,2646.00
13625,2554.69
13279,2489.81
13975,2620.31
13987,2622.56
13492,2529.75
13441,2520.19
12577,2358.19
13290,2491.87
13868,2600.25
14658,2748.37
14308,2682.75
14657,2748.19
13093,2454.94
12796,2399.25
12359,2317.31
12938,2425.87
13513,2533.69
13241,2482.69
13040,2445.00
14124,2648.25
13297,2493.19
13595,2549.06
14140,2651.25
8595,1611.56
13112,2458.50
13095,2455.31
12787,2397.56
12178,2283.37
11180,2096.25
13808,2589.00
7259,1361.06
11403,2138.06
11934,2237.62
12801,2400.19
12821,2403.94
11739,2201.06
10510,1970.63
11586,2172.37
12744,2389.50
12267,2300.06
11977,2245.69
12055,2260.31
12964,2430.75
12100,2268.75
12778,2395.87
12631,2368.31
1198,224.63
1007,188.81
7675,1439.06
2159,404.81
15577,2920.69
15339,2876.06
15475,2901.56
15105,2832.19
14855,2785.31
