ADC_Value,mV_Value
18355,3441.56
18350,3440.62
18351,3440.81
18283,3428.06
18357,3441.94
18357,3441.94
18355,3441.56
18350,3440.62
18351,3440.81
18283,3428.06
18394,3448.87
18377,3445.69
18382,3446.62
18359,3442.31
18388,3447.75
18404,3450.75
18408,3451.50
18406,3451.13
18403,3450.56
18394,3448.87
18338,3438.37
18355,3441.56
18354,3441.37
18351,3440.81
18359,3442.31
18374,3445.12
18385,3447.19
18387,3447.56
18386,3447.37
18372,3444.75
18383,3446.81
18302,3431.63
18357,3441.94
18338,3438.37
18330,3436.87
18348,3440.25
18358,3442.12
18300,3431.25
18285,3428.44
18342,3439.12
18344,3439.50
18359,3442.31
18353,3441.19
18357,3441.94
18365,3443.44
18263,3424.31
18348,3440.25
18369,3444.19
18369,3444.19
18367,3443.81
18328,3436.50
18352,3441.00
18348,3440.25
18375,3445.31
18376,3445.50
18349,3440.44
18346,3439.88
18354,3441.37
18363,3443.06
18375,3445.31
18344,3439.50
18254,3422.62
18327,3436.31
18343,3439.31
18363,3443.06
18375,3445.31
18365,3443.44
18349,3440.44
18346,3439.88
18356,3441.75
18358,3442.12
18370,3444.37
18366,3443.62
18355,3441.56
18348,3440.25
18360,3442.50
18366,3443.62
18369,3444.19
18356,3441.75
18338,3438.37
18348,3440.25
18365,3443.44
18354,3441.37
18362,3442.88
18346,3439.88
18349,3440.44
18330,3436.87
18261,3423.94
18301,3431.44
18301,3431.44
18307,3432.56
18308,3432.75
18352,3441.00
18361,3442.69
18365,3443.44
18330,3436.87
18342,3439.12
18333,3437.44
18366,3443.62
18370,3444.37
18347,3440.06
18348,3440.25
18345,3439.69
18336,3438.00
18250,3421.87
18344,3439.50
18355,3441.56
18345,3439.69
18346,3439.88
18363,3443.06
18365,3443.44
18368,3444.00
18345,3439.69
18350,3440.62
18350,3440.62
18350,3440.62
18369,3444.19
18373,3444.94
18360,3442.50
18281,3427.69
18298,3430.87
18254,3422.62
18306,3432.37
18357,3441.94
18361,3442.69
18365,3443.44
18365,3443.44
18333,3437.44
18325,3435.94
18345,3439.69
18340,3438.75
18345,3439.69
18349,3440.44
18356,3441.75
18347,3440.06
18336,3438.00
18328,3436.50
18343,3439.31
18348,3440.25
18357,3441.94
18344,3439.50
18324,3435.75
18286,3428.62
18302,3431.63
18319,3434.81
18314,3433.87
18317,3434.44
18314,3433.87
18328,3436.50
18339,3438.56
18339,3438.56
18339,3438.56
18325,3435.94
18319,3434.81
18321,3435.19
18329,3436.69
18338,3438.37
18341,3438.94
18320,3435.00
18310,3433.12
18227,3417.56
18312,3433.50
18328,3436.50
18316,3434.25
18320,3435.00
18321,3435.19
18333,3437.44
18320,3435.00
18332,3437.25
18322,3435.37
18316,3434.25
18322,3435.37
18326,3436.12
18331,3437.06
18317,3434.44
18308,3432.75
18280,3427.50
18229,3417.94
18233,3418.69
18319,3434.81
18302,3431.63
18291,3429.56
18280,3427.50
18296,3430.50
18299,3431.06
18285,3428.44
18266,3424.87
18251,3422.06
18277,3426.94
18294,3430.12
18291,3429.56
18272,3426.00
18263,3424.31
18283,3428.06
18284,3428.25
18228,3417.75
18241,3420.19
18271,3425.81
18261,3423.94
18271,3425.81
18289,3429.19
18286,3428.62
