ADC_Value,mV_Value
1,0.19
-4,-0.75
1,0.19
-4,-0.75
0,0.00
-4,-0.75
-4,-0.75
-3,-0.56
-4,-0.75
-1,-0.19
1,0.19
1,0.19
-4,-0.75
1,0.19
-4,-0.75
0,0.00
-4,-0.75
-4,-0.75
-3,-0.56
-4,-0.75
-1,-0.19
1,0.19
1,0.19
0,0.00
-5,-0.94
2,0.37
0,0.00
-1,-0.19
-5,-0.94
-1,-0.19
-1,-0.19
-2,-0.37
-2,-0.37
-3,-0.56
2,0.37
-3,-0.56
-3,-0.56
1,0.19
1,0.19
-1,-0.19
-2,-0.37
-6,-1.12
-3,-0.56
1,0.19
-4,-0.75
-2,-0.37
-3,-0.56
1,0.19
-2,-0.37
1,0.19
2,0.37
-4,-0.75
1,0.19
-3,-0.56
0,0.00
1,0.19
2,0.37
1,0.19
-2,-0.37
0,0.00
-12,-2.25
-2,-0.37
-2,-0.37
-8,-1.50
-1,-0.19
-5,-0.94
1,0.19
-2,-0.37
2,0.37
-5,-0.94
2,0.37
-3,-0.56
0,0.00
-9,-1.69
-4,-0.75
1,0.19
-1,-0.19
-1,-0.19
3,0.56
-3,-0.56
-9,-1.69
0,0.00
-4,-0.75
1,0.19
-6,-1.12
-2,-0.37
-3,-0.56
-1,-0.19
-1,-0.19
-3,-0.56
-3,-0.56
2,0.37
1,0.19
-2,-0.37
-1,-0.19
-2,-0.37
0,0.00
-1,-0.19
-6,-1.12
-3,-0.56
-1,-0.19
-2,-0.37
-3,-0.56
-4,-0.75
1,0.19
-2,-0.37
0,0.00
0,0.00
-1,-0.19
2,0.37
0,0.00
1,0.19
0,0.00
1,0.19
-4,-0.75
3,0.56
-5,-0.94
2,0.37
-3,-0.56
0,0.00
-4,-0.75
-3,-0.56
-1,-0.19
-1,-0.19
0,0.00
-4,-0.75
-3,-0.56
-5,-0.94
-1,-0.19
2,0.37
2,0.37
-1,-0.19
2,0.37
0,0.00
-1,-0.19
1,0.19
3,0.56
4,0.75
3,0.56
-1,-0.19
3,0.56
2,0.37
2,0.37
2,0.37
2,0.37
-1,-0.19
-6,-1.12
-4,-0.75
-1,-0.19
-3,-0.56
3,0.56
1,0.19
-2,-0.37
1,0.19
-1,-0.19
-2,-0.37
0,0.00
-6,-1.12
-3,-0.56
-1,-0.19
-2,-0.37
1,0.19
1,0.19
-4,-0.75
1,0.19
2,0.37
-7,-1.31
-2,-0.37
-1,-0.19
1,0.19
2,0.37
2,0.37
-8,-1.50
-2,-0.37
1,0.19
0,0.00
3,0.56
-3,-0.56
-1,-0.19
0,0.00
0,0.00
0,0.00
3,0.56
4,0.75
1,0.19
0,0.00
3,0.56
-3,-0.56
-1,-0.19
-1,-0.19
-3,-0.56
-2,-0.37
3,0.56
-4,-0.75
1,0.19
-3,-0.56
-5,-0.94
0,0.00
-2,-0.37
0,0.00
-7,-1.31
0,0.00
-3,-0.56
-6,-1.12
-7,-1.31
-1,-0.19
-2,-0.37
-1,-0.19
1,0.19
0,0.00
-5,-0.94
1,0.19
-8,-1.50
-3,-0.56
-1,-0.19
0,0.00
-1,-0.19
0,0.00
1,0.19
-4,-0.75
1,0.19
-1,-0.19
0,0.00
2,0.37
-3,-0.56
-6,-1.12
2,0.37
2,0.37
0,0.00
2,0.37
2,0.37
-1,-0.19
1,0.19
2,0.37
1,0.19
2,0.37
1,0.19
0,0.00
-5,-0.94
1,0.19
-3,-0.56
-1,-0.19
0,0.00
-1,-0.19
3,0.56
0,0.00
-1,-0.19
-1,-0.19
-4,-0.75
1,0.19
-8,-1.50
1,0.19
1,0.19
-7,-1.31
-4,-0.75
3,0.56
-1,-0.19
-5,-0.94
-4,-0.75
-1,-0.19
-1,-0.19
-9,-1.69
-1,-0.19
-6,-1.12
2,0.37
2,0.37
-4,-0.75
-12,-2.25
1,0.19
-4,-0.75
-4,-0.75
-1,-0.19
-1,-0.19
-3,-0.56
-2,-0.37
-3,-0.56
-12,-2.25
-5,-0.94
1,0.19
3,0.56
-7,-1.31
0,0.00
-3,-0.56
-6,-1.12
-2,-0.37
-2,-0.37
-2,-0.37
-3,-0.56
1,0.19
-1,-0.19
-1,-0.19
3,0.56
1,0.19
0,0.00
-4,-0.75
-1,-0.19
0,0.00
-4,-0.75
-2,-0.37
2,0.37
-1,-0.19
2,0.37
3,0.56
0,0.00
4,0.75
-2,-0.37
2,0.37
2,0.37
2,0.37
1,0.19
2,0.37
-1,-0.19
-1,-0.19
-1,-0.19
-7,-1.31
-1,-0.19
-4,-0.75
2,0.37
-3,-0.56
0,0.00
0,0.00
0,0.00
-1,-0.19
1,0.19
-2,-0.37
