ADC_Value,mV_Value
758,704.63
3776,708.00
3794,711.38
3791,710.81
3798,712.13
3799,712.31
3799,712.31
3783,709.31
3776,708.00
3794,711.38
3791,710.81
3798,712.13
3799,712.31
3799,712.31
3783,709.31
4800,900.00
4791,898.31
4799,899.81
4806,901.13
4805,900.94
4806,901.13
4805,900.94
4812,902.25
4832,906.00
4837,906.94
4850,909.38
4856,910.50
4869,912.94
4816,903.00
4811,902.06
4814,902.63
4499,843.56
4488,841.50
4574,857.63
4504,844.50
4488,841.50
4439,832.31
4391,823.31
4408,826.50
4392,823.50
4466,837.38
4490,841.88
4507,845.06
4375,820.31
4312,808.50
4324,810.75
4354,816.38
4264,799.50
4204,788.25
4711,883.31
4690,879.38
5072,951.00
5060,948.75
5037,944.44
4694,880.13
4585,859.69
4505,844.69
4414,827.63
5143,964.31
5169,969.19
5160,967.50
5167,968.81
5154,966.38
5126,961.13
4872,913.50
4842,907.88
4873,913.69
4877,914.44
4891,917.06
4906,919.88
4812,902.25
4893,917.44
4976,933.00
4909,920.44
5014,940.13
4903,919.31
4899,918.56
4893,917.44
4885,915.94
5348,1002.75
5353,1003.69
5339,1001.06
5355,1004.06
5350,1003.12
5308,995.25
5190,973.13
5234,981.38
5283,990.56
5211,977.06
5269,987.94
5267,987.56
5295,992.81
5347,1002.56
5339,1001.06
5287,991.31
5239,982.31
5244,983.25
5295,992.81
5288,991.50
5328,999.00
5089,954.19
5134,962.63
5296,993.00
5302,994.13
5306,994.88
5350,1003.12
5327,998.81
5449,1021.69
5482,1027.88
5523,1035.56
5428,1017.75
5427,1017.56
5579,1046.06
5580,1046.25
5602,1050.38
5451,1022.06
5960,1117.50
5983,1121.81
5990,1123.13
6005,1125.94
6012,1127.25
6039,1132.31
5966,1118.63
5983,1121.81
6010,1126.88
6029,1130.44
5983,1121.81
5946,1114.88
5985,1122.19
5912,1108.50
5934,1112.63
5929,1111.69
5968,1119.00
6004,1125.75
5988,1122.75
5960,1117.50
5941,1113.94
5967,1118.81
5937,1113.19
5941,1113.94
5916,1109.25
5911,1108.31
5897,1105.69
5965,1118.44
5956,1116.75
5926,1111.13
5834,1093.88
5762,1080.38
5797,1086.94
5891,1104.56
5926,1111.13
5872,1101.00
5909,1107.94
5987,1122.56
6027,1130.06
5909,1107.94
5930,1111.88
5817,1090.69
5987,1122.56
5929,1111.69
5939,1113.56
5996,1124.25
6049,1134.19
6113,1146.19
6136,1150.50
6098,1143.38
6175,1157.81
6178,1158.38
6264,1174.50
6230,1168.13
6192,1161.00
6170,1156.88
5976,1120.50
6152,1153.50
6170,1156.88
6166,1156.13
6143,1151.81
6220,1166.25
6257,1173.19
6220,1166.25
6335,1187.81
6326,1186.13
6300,1181.25
6208,1164.00
6261,1173.94
6156,1154.25
5908,1107.75
6701,1256.44
6713,1258.69
6764,1268.25
6721,1260.19
6746,1264.88
6752,1266.00
6736,1263.00
6760,1267.50
6765,1268.44
6763,1268.06
6784,1272.00
6745,1264.69
6744,1264.50
6716,1259.25
6674,1251.38
6732,1262.25
6732,1262.25
6895,1292.81
6847,1283.81
6857,1285.69
6902,1294.13
6951,1303.31
6965,1305.94
7009,1314.19
6968,1306.50
7291,1367.06
7357,1379.44
7394,1386.38
7412,1389.75
7428,1392.75
7419,1391.06
7419,1391.06
7426,1392.38
7461,1398.94
7438,1394.63
7440,1395.00
7436,1394.25
7440,1395.00
7422,1391.63
7375,1382.81
7390,1385.63
7464,1399.50
7562,1417.88
7571,1419.56
7618,1428.38
7616,1428.00
7616,1428.00
7630,1430.63
7675,1439.06
7725,1448.44
7749,1452.94
7749,1452.94
7796,1461.75
7794,1461.38
7806,1463.63
7801,1462.69
7814,1465.13
7828,1467.75
7780,1458.75
7786,1459.88
7772,1457.25
7835,1469.06
7816,1465.50
7835,1469.06
7845,1470.94
7836,1469.25
7845,1470.94
7801,1462.69
7709,1445.44
7834,1468.88
7821,1466.44
7813,1464.94
7831,1468.31
7814,1465.13
7782,1459.13
7817,1465.69
7795,1461.56
7882,1477.88
7920,1485.00
7892,1479.75
7894,1480.13
7903,1481.81
7903,1481.81
7919,1484.81
7734,1450.13
7782,1459.13
7867,1475.06
7827,1467.56
8132,1524.75
8173,1532.44
8170,1531.88
8130,1524.38
8129,1524.19
8168,1531.50
8162,1530.38
8179,1533.56
8172,1532.25
8189,1535.44
8151,1528.31
8232,1543.50
8266,1549.88
8278,1552.13
8326,1561.13
8223,1541.81
8303,1556.81
8386,1572.38
8427,1580.06
8401,1575.19
8477,1589.44
8414,1577.63
8385,1572.19
8339,1563.56
8372,1569.75
8260,1548.75
8467,1587.56
8389,1572.94
8389,1572.94
8415,1577.81
8448,1584.00
8563,1605.56
8563,1605.56
8502,1594.13
8569,1606.69
8448,1584.00
8456,1585.50
8657,1623.19
8588,1610.25
8558,1604.63
8624,1617.00
8592,1611.00
8523,1598.06
8635,1619.06
8701,1631.44
8737,1638.19
8717,1634.44
8703,1631.81
8784,1647.00
8787,1647.56
8821,1653.94
8827,1655.06
8818,1653.38
8826,1654.88
8837,1656.94
8768,1644.00
8933,1674.94
8953,1678.69
8969,1681.69
8934,1675.13
8961,1680.19
8988,1685.25
8987,1685.06
9012,1689.75
8915,1671.56
9060,1698.75
9076,1701.75
9087,1703.81
9086,1703.63
9106,1707.38
9123,1710.56
9128,1711.50
9133,1712.44
9121,1710.19
9109,1707.94
9128,1711.50
9157,1716.94
9166,1718.63
9206,1726.13
9248,1734.00
9275,1739.06
9264,1737.00
9230,1730.63
9304,1744.50
9326,1748.63
9344,1752.00
9349,1752.94
9372,1757.25
9390,1760.63
9394,1761.38
9413,1764.94
9420,1766.25
9432,1768.50
9434,1768.88
9404,1763.25
9409,1764.19
9425,1767.19
9391,1760.81
9436,1769.25
9427,1767.56
9466,1774.88
9481,1777.69
9490,1779.38
9482,1777.88
9494,1780.13
9337,1750.69
9417,1765.69
9431,1768.31
9464,1774.50
9492,1779.75
9455,1772.81
9457,1773.19
9435,1769.06
9460,1773.75
9456,1773.00
9445,1770.94
9458,1773.38
9459,1773.56
9429,1767.94
9293,1742.44
9364,1755.75
9414,1765.13
9447,1771.31
9475,1776.56
9463,1774.31
9479,1777.31
9478,1777.13
9480,1777.50
9504,1782.00
9454,1772.63
9386,1759.88
9449,1771.69
9450,1771.88
9596,1799.25
9604,1800.75
9593,1798.69
9587,1797.56
9531,1787.06
9521,1785.19
9546,1789.88
9519,1784.81
9583,1796.81
9572,1794.75
9521,1785.19
9556,1791.75
9590,1798.13
9624,1804.50
9630,1805.63
9583,1796.81
9582,1796.63
9535,1787.81
9537,1788.19
9553,1791.19
9545,1789.69
9782,1834.13
9774,1832.63
9796,1836.75
9809,1839.19
9811,1839.56
9817,1840.69
9805,1838.44
9825,1842.19
9827,1842.56
9823,1841.81
9848,1846.50
9853,1847.44
9850,1846.88
9838,1844.63
9840,1845.00
9848,1846.50
9852,1847.25
9833,1843.69
